    0.8263115692E+02 0.0000000000E+00   -0.9721930695E+02 0.0000000000E+00    0.6331059337E+00 0.0000000000E+00   -0.5896914005E+00 0.0000000000E+00   -0.2619114937E-02 0.0000000000E+00   -0.6443845481E-01 0.0000000000E+00   -0.5884187698E+01 0.0000000000E+00   -0.3164528370E+01 0.0000000000E+00   -0.1166750908E+01 0.0000000000E+00    0.1619194412E+02 0.0000000000E+00
    0.8211979675E+02 0.0000000000E+00   -0.9634515381E+02 0.0000000000E+00    0.6340772510E+00 0.0000000000E+00   -0.5714976192E+00 0.0000000000E+00    0.1814456889E-02 0.0000000000E+00   -0.5978552997E-01 0.0000000000E+00   -0.5688342571E+01 0.0000000000E+00   -0.1967506528E+01 0.0000000000E+00   -0.1319636822E+01 0.0000000000E+00    0.1579282093E+02 0.0000000000E+00
    0.8251337433E+02 0.0000000000E+00   -0.9695305634E+02 0.0000000000E+00    0.6354702711E+00 0.0000000000E+00   -0.5873675346E+00 0.0000000000E+00   -0.2110634698E-02 0.0000000000E+00   -0.6413961202E-01 0.0000000000E+00   -0.5695672512E+01 0.0000000000E+00   -0.3072759867E+01 0.0000000000E+00   -0.1249639750E+01 0.0000000000E+00    0.1613325691E+02 0.0000000000E+00
    0.8253379822E+02 0.0000000000E+00   -0.9694396210E+02 0.0000000000E+00    0.6368166208E+00 0.0000000000E+00   -0.5893241763E+00 0.0000000000E+00   -0.2679786645E-02 0.0000000000E+00   -0.6525795162E-01 0.0000000000E+00   -0.5555040359E+01 0.0000000000E+00   -0.3317525148E+01 0.0000000000E+00   -0.1292768002E+01 0.0000000000E+00    0.1619387054E+02 0.0000000000E+00
    0.8216185760E+02 0.0000000000E+00   -0.9637329865E+02 0.0000000000E+00    0.6349643469E+00 0.0000000000E+00   -0.5740894079E+00 0.0000000000E+00    0.1121690380E-02 0.0000000000E+00   -0.6036869809E-01 0.0000000000E+00   -0.5672381878E+01 0.0000000000E+00   -0.2092847586E+01 0.0000000000E+00   -0.1316516161E+01 0.0000000000E+00    0.1582234764E+02 0.0000000000E+00
    0.8208241272E+02 0.0000000000E+00   -0.9617473602E+02 0.0000000000E+00    0.6359343529E+00 0.0000000000E+00   -0.5721971393E+00 0.0000000000E+00    0.1511413138E-02 0.0000000000E+00   -0.5994116515E-01 0.0000000000E+00   -0.5583305836E+01 0.0000000000E+00   -0.1951983809E+01 0.0000000000E+00   -0.1358947635E+01 0.0000000000E+00    0.1576217175E+02 0.0000000000E+00
    0.8196025085E+02 0.0000000000E+00   -0.9594445038E+02 0.0000000000E+00    0.6355882287E+00 0.0000000000E+00   -0.5672286153E+00 0.0000000000E+00    0.2714809263E-02 0.0000000000E+00   -0.5879992619E-01 0.0000000000E+00   -0.5527138233E+01 0.0000000000E+00   -0.1671171546E+01 0.0000000000E+00   -0.1399914026E+01 0.0000000000E+00    0.1567169285E+02 0.0000000000E+00
    0.8217466736E+02 0.0000000000E+00   -0.9629821014E+02 0.0000000000E+00    0.6369069815E+00 0.0000000000E+00   -0.5768638849E+00 0.0000000000E+00    0.3344402066E-03 0.0000000000E+00   -0.6120524928E-01 0.0000000000E+00   -0.5550531387E+01 0.0000000000E+00   -0.2258351803E+01 0.0000000000E+00   -0.1351949692E+01 0.0000000000E+00    0.1584976101E+02 0.0000000000E+00
    0.8178533936E+02 0.0000000000E+00   -0.9543416595E+02 0.0000000000E+00    0.6382167935E+00 0.0000000000E+00   -0.5654124618E+00 0.0000000000E+00    0.2924511908E-02 0.0000000000E+00   -0.5835245177E-01 0.0000000000E+00   -0.5325568199E+01 0.0000000000E+00   -0.1446272373E+01 0.0000000000E+00   -0.1485474229E+01 0.0000000000E+00    0.1555925083E+02 0.0000000000E+00
    0.8179812622E+02 0.0000000000E+00   -0.9548952484E+02 0.0000000000E+00    0.6375946999E+00 0.0000000000E+00   -0.5647962093E+00 0.0000000000E+00    0.3111882834E-02 0.0000000000E+00   -0.5818841606E-01 0.0000000000E+00   -0.5358786106E+01 0.0000000000E+00   -0.1439748287E+01 0.0000000000E+00   -0.1475536108E+01 0.0000000000E+00    0.1556502151E+02 0.0000000000E+00
    0.8206790161E+02 0.0000000000E+00   -0.9607720947E+02 0.0000000000E+00    0.6372743845E+00 0.0000000000E+00   -0.5734601021E+00 0.0000000000E+00    0.1116335392E-02 0.0000000000E+00   -0.6033556163E-01 0.0000000000E+00   -0.5494663239E+01 0.0000000000E+00   -0.2007237673E+01 0.0000000000E+00   -0.1387665868E+01 0.0000000000E+00    0.1576176548E+02 0.0000000000E+00
    0.8211483002E+02 0.0000000000E+00   -0.9620053864E+02 0.0000000000E+00    0.6366212368E+00 0.0000000000E+00   -0.5742860436E+00 0.0000000000E+00    0.9676969494E-03 0.0000000000E+00   -0.6048873067E-01 0.0000000000E+00   -0.5555139065E+01 0.0000000000E+00   -0.2075559855E+01 0.0000000000E+00   -0.1361251354E+01 0.0000000000E+00    0.1579363918E+02 0.0000000000E+00
    0.8229510498E+02 0.0000000000E+00   -0.9658572388E+02 0.0000000000E+00    0.6353994012E+00 0.0000000000E+00   -0.5795686841E+00 0.0000000000E+00   -0.2229969687E-03 0.0000000000E+00   -0.6176417321E-01 0.0000000000E+00   -0.5690520763E+01 0.0000000000E+00   -0.2455935717E+01 0.0000000000E+00   -0.1286966562E+01 0.0000000000E+00    0.1593526745E+02 0.0000000000E+00
